id	ec_numbers
MNXR101163	3.1.1.5
MNXR101164	3.1.1.5
MNXR101165	3.1.1.5
MNXR101166	
MNXR101167	3.1.1.5
MNXR101168	
MNXR101169	
MNXR101170	
MNXR101171	
MNXR101172	
MNXR101173	
MNXR101174	
MNXR101175	
MNXR101176	
MNXR101177	
MNXR101178	
MNXR101179	
MNXR101180	
MNXR101181	
MNXR101182	
MNXR101183	
MNXR101184	
MNXR101185	
MNXR101187	
MNXR101189	
MNXR101190	
MNXR101191	
MNXR101192	
MNXR101193	
MNXR101194	
MNXR101195	
MNXR101196	
MNXR101197	
MNXR101198	
MNXR101199	
MNXR101204	
MNXR101205	
MNXR101206	
MNXR101207	
MNXR101208	
MNXR101209	
MNXR101210	
MNXR101211	
MNXR101212	
MNXR101213	
MNXR101214	
MNXR101215	
MNXR101216	
MNXR101217	
MNXR101218	
MNXR101222	
MNXR101223	
MNXR101224	
MNXR101225	
MNXR101226	
MNXR101235	
MNXR101236	
MNXR101237	
MNXR101238	
MNXR101239	
MNXR101240	
MNXR101241	
MNXR101242	1.1.1.276
MNXR101244	1.14.21.6
MNXR101245	1.14.21.6
MNXR101246	3.3.2.6
MNXR101247	
MNXR101249	2.3.2.-;3.4.13.19;3.4.14.6
MNXR101251	2.7.1.-;2.7.1.177
MNXR101253	
MNXR101254	5.4.3.2
MNXR101255	
MNXR101258	1.13.12.2
MNXR101259	
MNXR101260	
MNXR101265	3.6.3.21;7.4.2.1
MNXR101266	
MNXR101267	
MNXR101268	
MNXR101271	
MNXR101272	
MNXR101273	1.1.2.3
MNXR101274	
MNXR101275	1.1.2.3
MNXR101277	
MNXR101278	
MNXR101279	
MNXR101280	
MNXR101281	5.1.2.1
MNXR101282	
MNXR101283	
MNXR101284	
MNXR101285	
MNXR101286	
MNXR101287	
MNXR101288	
MNXR101289	
MNXR101290	
MNXR101291	
MNXR101292	
MNXR101293	
MNXR101294	
MNXR101295	
MNXR101296	
MNXR101297	
MNXR101298	
MNXR101299	
MNXR101300	
MNXR101301	
MNXR101302	
MNXR101303	
MNXR101304	
MNXR101305	
MNXR101306	
MNXR101307	
MNXR101308	
MNXR101309	
MNXR101310	
MNXR101312	
MNXR101313	
MNXR101314	
MNXR101315	
MNXR101316	
MNXR101317	
MNXR101318	
MNXR101319	
MNXR101320	
MNXR101321	
MNXR101322	
MNXR101323	
MNXR101324	
MNXR101325	5.2.1.2
MNXR101326	1.2.1.5
MNXR101329	
MNXR101330	
MNXR101331	
MNXR101332	
MNXR101333	
MNXR101334	
MNXR101335	
MNXR101338	
MNXR101339	1.1.1.83
MNXR101340	
MNXR101341	
MNXR101342	5.2.1.1
MNXR101343	
MNXR101344	
MNXR101346	
MNXR101348	
MNXR101349	
MNXR101357	
MNXR101366	
MNXR101367	
MNXR101368	
MNXR101369	
MNXR101370	
MNXR101371	
MNXR101372	2.A.56.-.-
MNXR101373	
MNXR101374	
MNXR101378	
MNXR101379	
MNXR101380	
MNXR101381	
MNXR101386	
MNXR101387	
MNXR101388	
MNXR101393	
MNXR101398	
MNXR101399	
MNXR101404	
MNXR101405	1.4.3.4
MNXR101408	
MNXR101409	
MNXR101418	
MNXR101419	1.1.1.27
MNXR101420	2.1.1.-;2.1.1.246;2.1.1.90
MNXR101425	3.5.4.1
MNXR101438	
MNXR101439	1.1.1.27;1.1.1.299;1.1.1.37;1.1.1.82
MNXR101440	1.1.5.4;1.1.99.16
MNXR101441	1.1.99.16
MNXR101443	1.1.1.38;1.1.1.39;1.1.1.40;1.1.1.42
MNXR101444	1.1.1.299;1.1.1.37;1.1.1.82
MNXR101446	1.1.1.38;1.1.1.39;1.1.1.40
MNXR101447	
MNXR101448	
MNXR101449	
MNXR101450	
MNXR101451	
MNXR101452	
MNXR101453	
MNXR101454	3.1.1.1
MNXR101455	
MNXR101456	1.6.3.2
MNXR101458	
MNXR101464	
MNXR101465	
MNXR101466	
MNXR101467	
MNXR101469	
MNXR101471	
MNXR101472	7.4.2.11;7.4.2.j
MNXR101473	
MNXR101474	4.4.1.11
MNXR101475	
MNXR101476	
MNXR101477	
MNXR101478	1.4.3.2
MNXR101480	
MNXR101486	
MNXR101487	
MNXR101489	3.6.3.22;7.4.2.11
MNXR101490	
MNXR101491	
MNXR101492	
MNXR101493	
MNXR101494	
MNXR101500	
MNXR101502	
MNXR101503	
MNXR101505	3.6.3.2;7.2.2.14;7.2.2.m
MNXR101506	
MNXR101507	1.A.35.-.-
MNXR101508	
MNXR101509	
MNXR101511	
MNXR101512	
MNXR101514	
MNXR101515	
MNXR101516	
MNXR101517	
MNXR101518	
MNXR101519	
MNXR101520	
MNXR101521	
MNXR101522	
MNXR101523	
MNXR101524	
MNXR101525	
MNXR101526	
MNXR101527	
MNXR101528	
MNXR101529	
MNXR101530	
MNXR101531	
MNXR101532	
MNXR101533	
MNXR101534	
MNXR101535	
MNXR101536	
MNXR101537	
MNXR101538	
MNXR101539	
MNXR101540	
MNXR101541	
MNXR101542	
MNXR101543	
MNXR101544	
MNXR101545	
MNXR101546	
MNXR101547	
MNXR101548	
MNXR101549	
MNXR101551	4.2.3.3
MNXR101552	
MNXR101553	
MNXR101554	1.4.3.22;1.4.3.4
MNXR101557	
MNXR101559	
MNXR101563	3.1.3.64
MNXR101567	
MNXR101569	
MNXR101572	
MNXR101573	
MNXR101576	5.5.1.4
MNXR101578	
MNXR101582	
MNXR101630	
MNXR101631	
MNXR101638	
MNXR101639	
MNXR101640	
MNXR101641	
MNXR101642	
MNXR101643	
MNXR101644	
MNXR101645	
MNXR101646	
MNXR101647	
MNXR101648	
MNXR101649	
MNXR101650	
MNXR101651	
MNXR101652	
MNXR101653	
MNXR101654	2.1.1.247;2.1.1.248
MNXR101657	5.1.99.1
MNXR101667	1.2.1.27
MNXR101668	1.2.1.18
MNXR101669	
MNXR101670	
MNXR101672	
MNXR101673	
MNXR101674	
MNXR101680	3.6.3.35;3.A.1.15.-;7.2.2.5;7.2.2.c
MNXR101681	2.A.55.-.-
MNXR101682	
MNXR101685	
MNXR101687	
MNXR101689	3.6.3.29;3.A.1.8.-;7.3.2.5
MNXR101690	
MNXR101694	
MNXR101695	
MNXR101696	1.2.4.4
MNXR101706	
MNXR101707	
MNXR101708	
MNXR101709	
MNXR101711	
MNXR101712	
MNXR101713	
MNXR101714	
MNXR101715	1.1.3.3;1.1.5.4
MNXR101718	
MNXR101719	1.14.13.81
MNXR101722	
MNXR101724	
MNXR101725	
MNXR101730	2.7.7.75
MNXR101736	
MNXR101737	1.1.1.-;1.1.1.2;1.1.1.298;1.1.1.n11
MNXR101741	
MNXR101742	
MNXR101743	1.8.2.2
MNXR101746	
MNXR101753	1.7.99.5
MNXR101754	
MNXR101755	
MNXR101756	
MNXR101767	
MNXR101779	
MNXR101780	
MNXR101781	
MNXR101782	
MNXR101783	
MNXR101784	
MNXR101785	
MNXR101786	
MNXR101787	
MNXR101788	
MNXR101789	
MNXR101790	
MNXR101791	
MNXR101794	
MNXR101795	
MNXR101798	3.1.3;3.1.3.-;3.1.3.1;3.1.3.108;3.1.3.2
MNXR101801	
MNXR101802	3.6.3.15;3.6.3.7;7.2.2.1;7.2.2.3;7.2.2.4
MNXR101803	
MNXR101804	7.2.4.5
MNXR101805	1.2.1.3
MNXR101808	
MNXR101809	
MNXR101810	
MNXR101811	
MNXR101812	
MNXR101813	
MNXR101814	
MNXR101815	
MNXR101816	
MNXR101817	
MNXR101818	
MNXR101819	
MNXR101820	
MNXR101821	
MNXR101822	
MNXR101823	
MNXR101824	
MNXR101825	
MNXR101826	
MNXR101827	
MNXR101828	
MNXR101829	
MNXR101830	
MNXR101831	
MNXR101832	
MNXR101833	
MNXR101834	
MNXR101835	
MNXR101836	
MNXR101837	
MNXR101838	
MNXR101839	
MNXR101840	
MNXR101841	
MNXR101842	
MNXR101843	
MNXR101844	
MNXR101845	
MNXR101846	
MNXR101847	
MNXR101848	
MNXR101849	
MNXR101850	
MNXR101851	
MNXR101852	
MNXR101853	
MNXR101854	
MNXR101855	
MNXR101856	
MNXR101857	
MNXR101858	
MNXR101859	
MNXR101860	
MNXR101862	
MNXR101863	1.6.5.3
